162,133,76,72
108,168,90,75
40,446,62,69
56,66,85,88
165,287,81,87
128,110,77,76
151,328,80,70
48,349,68,88
182,407,83,77
136,289,62,67
101,463,65,88
149,319,72,85
163,348,86,78
6,139,87,72
183,191,85,76
155,367,78,80
40,349,69,62
107,153,73,71
118,326,78,61
120,320,84,85
121,83,86,63
120,174,76,87
174,175,66,85
15,388,61,64
75,113,66,83
120,269,71,72
184,417,65,72
132,94,62,63
14,328,66,64
160,392,72,75
175,229,66,76
116,110,67,85
69,175,77,90
10,293,71,73
53,175,84,81
93,196,76,80
85,141,77,76
15,437,66,72
131,176,90,62
99,115,86,83
115,386,74,71
65,260,69,61
24,79,87,69
140,306,83,89
108,234,62,74
176,421,66,90
120,474,67,75
45,391,83,87
160,297,76,60
98,412,79,80
172,263,86,60
119,336,72,72
103,4,88,67
156,233,90,89
170,232,69,63
152,333,74,77
88,245,80,84
120,373,90,72
108,318,82,62
136,159,89,66
36,452,71,83
60,125,65,79
133,431,77,85
28,160,69,76
127,24,86,78
15,375,75,65
101,279,71,85
15,431,86,82
88,53,67,80
54,377,76,80
80,420,70,83
120,51,69,67
51,450,61,72
109,397,60,60
191,374,69,72
56,456,65,90
40,197,87,66
56,13,89,72
83,245,77,64
51,281,90,72
66,165,88,75
133,411,74,66
115,474,87,87
49,439,74,88
80,390,82,73
99,91,70,90
143,239,71,73
147,171,72,61
103,238,60,62
80,75,65,71
170,363,89,75
175,305,81,86
8,257,63,67
168,133,82,62
111,95,79,81
108,286,70,76
142,149,73,85
43,144,88,89
81,169,83,87
118,356,61,63
49,231,80,87
168,351,80,63
124,298,78,77
136,64,74,72
139,92,86,83
32,167,70,90
165,268,62,88
36,38,87,90
21,191,76,64
35,351,86,66
60,345,81,75
174,197,77,89
157,312,74,68
175,375,83,88
162,318,65,76
25,183,67,60
59,379,63,68
4,333,70,67
80,112,77,90
195,364,79,87
