160,218,63,33
144,42,62,33
48,452,32,43
155,154,32,67
45,16,37,44
160,203,60,58
129,195,61,38
109,447,59,41
154,141,48,50
54,236,55,32
109,283,41,38
6,376,34,30
138,426,40,54
176,337,65,48
53,249,34,59
116,78,46,31
50,472,67,34
15,198,66,44
26,157,57,51
48,45,31,33
174,420,68,51
144,445,44,40
157,232,53,69
87,125,30,55
75,195,45,53
156,128,65,57
124,166,66,34
53,269,64,67
155,420,48,62
156,181,59,59
81,71,30,55
102,233,39,54
152,194,45,50
60,100,61,44
48,298,67,54
29,244,39,30
50,15,68,42
160,68,47,70
79,428,46,48
86,31,43,46
168,284,62,41
81,45,67,53
84,188,42,37
83,144,70,63
139,364,68,50
84,165,46,56
128,129,47,42
140,356,43,58
143,462,60,45
100,47,50,57
64,300,64,44
21,136,56,37
108,458,38,40
23,167,45,64
40,57,69,49
176,353,42,61
77,448,68,53
45,176,48,67
83,36,59,55
134,89,69,32
53,38,54,30
171,391,49,46
68,325,53,50
143,37,34,70
139,443,48,68
79,163,61,48
176,60,38,48
129,90,53,47
67,172,35,34
99,241,37,68
65,100,48,47
156,169,47,58
120,155,46,37
130,114,47,39
57,94,46,53
107,112,46,45
48,120,58,62
146,319,33,37
168,242,64,35
91,178,56,43
139,48,67,46
125,182,56,66
135,359,66,35
95,46,61,67
138,70,42,64
109,138,51,70
42,223,63,64
83,104,45,57
167,254,37,42
157,107,70,49
156,266,37,43
71,278,39,32
113,222,48,60
141,312,56,59
74,73,38,44
112,358,56,56
158,163,38,61
125,124,57,65
174,55,65,36
85,82,58,62
48,165,56,34
160,139,64,64
9,177,64,59
53,263,65,41
139,343,36,31
104,145,37,46
119,48,43,60
175,311,63,66
155,112,31,57
114,83,40,52
88,253,48,42
101,103,67,69
121,191,55,42
113,456,39,51
126,390,50,33
102,301,50,49
