134,32,5,35
40,112,3,23
52,460,14,32
84,137,41,48
160,202,41,31
156,98,7,1
61,212,33,36
128,30,24,10
20,78,20,22
101,462,11,12
109,135,20,10
157,231,48,45
154,338,39,7
164,195,8,25
91,289,33,23
29,279,4,41
160,213,19,13
147,79,5,49
152,274,48,13
88,66,43,15
32,145,22,27
75,260,11,29
184,66,6,9
29,326,47,40
114,341,28,25
24,350,28,49
7,21,18,41
13,183,8,23
147,67,50,22
103,468,18,28
90,95,17,29
36,155,27,9
148,308,21,10
151,164,49,27
115,169,43,20
54,246,38,1
40,211,11,2
168,237,16,29
20,312,20,40
139,188,32,3
117,202,34,45
125,13,26,24
40,65,48,28
24,456,36,42
195,201,1,23
150,324,14,39
72,116,44,46
5,450,15,30
35,185,36,4
32,218,34,24
149,290,31,50
69,323,27,1
68,212,32,34
74,160,27,46
50,116,38,42
59,205,1,24
93,29,31,39
72,133,11,45
166,461,50,30
25,335,30,7
29,321,23,43
96,285,3,41
170,432,9,35
157,110,14,8
103,135,35,29
19,351,19,11
143,48,49,10
165,398,14,20
24,205,7,2
131,465,8,26
47,263,15,29
96,98,18,33
36,464,4,24
185,171,32,38
35,88,26,8
51,181,49,14
58,416,1,44
88,345,43,25
70,261,14,6
49,468,11,46
118,444,33,39
135,456,38,26
23,287,19,49
72,149,27,10
143,271,27,12
192,284,29,42
133,146,1,27
67,49,40,39
9,35,12,4
163,123,44,40
189,45,14,2
65,31,12,8
9,467,20,3
144,287,46,35
70,109,9,15
80,262,10,41
111,445,29,50
76,246,40,46
125,136,44,36
131,30,19,48
101,162,47,10
45,457,44,42
111,451,41,41
122,282,49,29
79,111,3,1
136,143,32,9
67,449,46,25
88,448,36,25
175,256,45,9
139,459,5,36
128,81,37,49
65,168,12,39
76,118,6,26
72,139,33,37
71,460,27,15
176,471,40,33
125,112,50,47
111,257,17,34
92,72,21,35
176,455,5,17
152,63,2,36
107,97,49,22
124,224,29,3
93,118,25,5
133,104,35,42
50,138,48,43
101,148,10,40
151,450,45,37
66,128,13,18
66,21,14,21
155,83,17,41
79,208,25,48
28,164,30,30
118,258,23,50
125,240,15,41
107,322,43,48
141,108,45,47
160,66,20,15
27,259,42,37
138,448,30,41
185,129,49,44
37,283,29,15
146,50,28,23
84,209,16,1
191,255,7,19
49,251,22,29
174,196,44,1
101,168,6,23
76,82,29,19
59,167,48,25
48,450,3,3
55,227,32,37
172,136,43,29
70,472,38,41
119,16,42,42
115,97,38,11
75,52,44,47
190,444,19,17
77,405,7,33
105,56,24,15
28,324,41,17
11,363,26,42
20,372,49,38
100,25,18,42
70,118,46,26
149,167,21,47
176,159,19,8
88,469,42,9
84,169,41,48
79,35,32,26
144,440,22,2
184,322,40,48
139,57,30,26
101,331,31,1
93,456,34,19
23,324,33,27
93,67,11,2
32,282,3,2
48,469,3,37
176,100,24,14
67,201,13,46
35,259,31,40
78,185,29,13
169,175,14,10
13,391,28,9
83,185,49,50
160,218,63,33
