134,32,5,35
40,112,3,23
52,460,14,32
84,137,41,48
160,202,41,31
156,98,7,1
61,212,33,36
128,30,24,10
20,78,20,22
101,462,11,12
109,135,20,10
157,231,48,45
154,338,39,7
164,195,8,25
91,289,33,23
29,279,4,41
160,213,19,13
147,79,5,49
152,274,48,13
88,66,43,15
32,145,22,27
75,260,11,29
184,66,6,9
29,326,47,40
114,341,28,25
24,350,28,49
7,21,18,41
13,183,8,23
147,67,50,22
103,468,18,28
90,95,17,29
36,155,27,9
148,308,21,10
151,164,49,27
115,169,43,20
54,246,38,1
40,211,11,2
168,237,16,29
20,312,20,40
139,188,32,3
117,202,34,45
125,13,26,24
40,65,48,28
24,456,36,42
195,201,1,23
150,324,14,39
72,116,44,46
5,450,15,30
35,185,36,4
32,218,34,24
149,290,31,50
69,323,27,1
68,212,32,34
74,160,27,46
50,116,38,42
59,205,1,24
93,29,31,39
72,133,11,45
166,461,50,30
25,335,30,7
29,321,23,43
96,285,3,41
170,432,9,35
157,110,14,8
103,135,35,29
19,351,19,11
143,48,49,10
165,398,14,20
24,205,7,2
131,465,8,26
47,263,15,29
96,98,18,33
36,464,4,24
185,171,32,38
35,88,26,8
51,181,49,14
58,416,1,44
88,345,43,25
70,261,14,6
49,468,11,46
118,444,33,39
135,456,38,26
23,287,19,49
72,149,27,10
143,271,27,12
192,284,29,42
133,146,1,27
67,49,40,39
9,35,12,4
163,123,44,40
189,45,14,2
65,31,12,8
9,467,20,3
144,287,46,35
70,109,9,15
80,262,10,41
111,445,29,50
